:START_ID(Device),:END_ID(BIOS),:TYPE
DEV-HP-0001,BIOS-HP-0D090BB033,HAS_BIOS
DEV-DELL-0002,BIOS-DELL-765C934D47,HAS_BIOS
DEV-HP-0003,BIOS-HP-10090CF172,HAS_BIOS
DEV-LENOVO-0004,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-HP-0005,BIOS-HP-418E526406,HAS_BIOS
DEV-DELL-0006,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-DELL-0007,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-HP-0008,BIOS-HP-0D090BB033,HAS_BIOS
DEV-DELL-0009,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-LENOVO-0010,BIOS-LENOVO-D3C6DAF418,HAS_BIOS
DEV-DELL-0011,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-DELL-0012,BIOS-DELL-765C934D47,HAS_BIOS
DEV-DELL-0013,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-LENOVO-0014,BIOS-LENOVO-D3C6DAF418,HAS_BIOS
DEV-DELL-0015,BIOS-DELL-765C934D47,HAS_BIOS
DEV-HP-0016,BIOS-HP-418E526406,HAS_BIOS
DEV-LENOVO-0017,BIOS-LENOVO-4487D82AD1,HAS_BIOS
DEV-LENOVO-0018,BIOS-LENOVO-E636F911BE,HAS_BIOS
DEV-DELL-0019,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-DELL-0020,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-LENOVO-0021,BIOS-LENOVO-D3C6DAF418,HAS_BIOS
DEV-DELL-0022,BIOS-DELL-23FD72083E,HAS_BIOS
DEV-DELL-0023,BIOS-DELL-A5A744D827,HAS_BIOS
DEV-DELL-0024,BIOS-DELL-A5A744D827,HAS_BIOS
DEV-DELL-0025,BIOS-DELL-A5A744D827,HAS_BIOS
DEV-DELL-0026,BIOS-DELL-23FD72083E,HAS_BIOS
DEV-LENOVO-0027,BIOS-LENOVO-4487D82AD1,HAS_BIOS
DEV-HP-0028,BIOS-HP-10090CF172,HAS_BIOS
DEV-DELL-0029,BIOS-DELL-23FD72083E,HAS_BIOS
DEV-HP-0030,BIOS-HP-9FF2A01DC1,HAS_BIOS
DEV-DELL-0031,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-HP-0032,BIOS-HP-418E526406,HAS_BIOS
DEV-HP-0033,BIOS-HP-9FF2A01DC1,HAS_BIOS
DEV-HP-0034,BIOS-HP-D78C28A42F,HAS_BIOS
DEV-DELL-0035,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-HP-0036,BIOS-HP-D78C28A42F,HAS_BIOS
DEV-DELL-0037,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-HP-0038,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-DELL-0039,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-HP-0040,BIOS-HP-0D090BB033,HAS_BIOS
DEV-DELL-0041,BIOS-DELL-23FD72083E,HAS_BIOS
DEV-HP-0042,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-DELL-0043,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-DELL-0044,BIOS-DELL-765C934D47,HAS_BIOS
DEV-HP-0045,BIOS-HP-418E526406,HAS_BIOS
DEV-DELL-0046,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-DELL-0047,BIOS-DELL-765C934D47,HAS_BIOS
DEV-DELL-0048,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-DELL-0049,BIOS-DELL-23FD72083E,HAS_BIOS
DEV-DELL-0050,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-LENOVO-0051,BIOS-LENOVO-BD26A42E6A,HAS_BIOS
DEV-DELL-0052,BIOS-DELL-A5A744D827,HAS_BIOS
DEV-LENOVO-0053,BIOS-LENOVO-E636F911BE,HAS_BIOS
DEV-HP-0054,BIOS-HP-418E526406,HAS_BIOS
DEV-DELL-0055,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-LENOVO-0056,BIOS-LENOVO-E636F911BE,HAS_BIOS
DEV-DELL-0057,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-DELL-0058,BIOS-DELL-A5A744D827,HAS_BIOS
DEV-DELL-0059,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-DELL-0060,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-LENOVO-0061,BIOS-LENOVO-BD26A42E6A,HAS_BIOS
DEV-DELL-0062,BIOS-DELL-23FD72083E,HAS_BIOS
DEV-HP-0063,BIOS-HP-9FF2A01DC1,HAS_BIOS
DEV-LENOVO-0064,BIOS-LENOVO-EB5035EF03,HAS_BIOS
DEV-DELL-0065,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-DELL-0066,BIOS-DELL-765C934D47,HAS_BIOS
DEV-HP-0067,BIOS-HP-0D090BB033,HAS_BIOS
DEV-LENOVO-0068,BIOS-LENOVO-D3C6DAF418,HAS_BIOS
DEV-DELL-0069,BIOS-DELL-A5A744D827,HAS_BIOS
DEV-LENOVO-0070,BIOS-LENOVO-D3C6DAF418,HAS_BIOS
DEV-HP-0071,BIOS-HP-10090CF172,HAS_BIOS
DEV-DELL-0072,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-LENOVO-0073,BIOS-LENOVO-EB5035EF03,HAS_BIOS
DEV-DELL-0074,BIOS-DELL-765C934D47,HAS_BIOS
DEV-HP-0075,BIOS-HP-418E526406,HAS_BIOS
DEV-DELL-0076,BIOS-DELL-765C934D47,HAS_BIOS
DEV-DELL-0077,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-DELL-0078,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-HP-0079,BIOS-HP-0D090BB033,HAS_BIOS
DEV-DELL-0080,BIOS-DELL-A5A744D827,HAS_BIOS
DEV-HP-0081,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-HP-0082,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-DELL-0083,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-LENOVO-0084,BIOS-LENOVO-BD26A42E6A,HAS_BIOS
DEV-HP-0085,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-DELL-0086,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-HP-0087,BIOS-HP-10090CF172,HAS_BIOS
DEV-DELL-0088,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-LENOVO-0089,BIOS-LENOVO-EB5035EF03,HAS_BIOS
DEV-LENOVO-0090,BIOS-LENOVO-BD26A42E6A,HAS_BIOS
DEV-DELL-0091,BIOS-DELL-A5A744D827,HAS_BIOS
DEV-DELL-0092,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-HP-0093,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-DELL-0094,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-DELL-0095,BIOS-DELL-765C934D47,HAS_BIOS
DEV-LENOVO-0096,BIOS-LENOVO-4487D82AD1,HAS_BIOS
DEV-DELL-0097,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-HP-0098,BIOS-HP-418E526406,HAS_BIOS
DEV-DELL-0099,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-DELL-0100,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-LENOVO-0101,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-HP-0102,BIOS-HP-418E526406,HAS_BIOS
DEV-LENOVO-0103,BIOS-LENOVO-BD26A42E6A,HAS_BIOS
DEV-DELL-0104,BIOS-DELL-A5A744D827,HAS_BIOS
DEV-DELL-0105,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-DELL-0106,BIOS-DELL-A5A744D827,HAS_BIOS
DEV-HP-0107,BIOS-HP-9FF2A01DC1,HAS_BIOS
DEV-HP-0108,BIOS-HP-10090CF172,HAS_BIOS
DEV-HP-0109,BIOS-HP-0D090BB033,HAS_BIOS
DEV-DELL-0110,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-LENOVO-0111,BIOS-LENOVO-EB5035EF03,HAS_BIOS
DEV-DELL-0112,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-DELL-0113,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-DELL-0114,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-LENOVO-0115,BIOS-LENOVO-EB5035EF03,HAS_BIOS
DEV-LENOVO-0116,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-HP-0117,BIOS-HP-0D090BB033,HAS_BIOS
DEV-DELL-0118,BIOS-DELL-765C934D47,HAS_BIOS
DEV-LENOVO-0119,BIOS-LENOVO-4487D82AD1,HAS_BIOS
DEV-LENOVO-0120,BIOS-LENOVO-E636F911BE,HAS_BIOS
DEV-DELL-0121,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-DELL-0122,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-LENOVO-0123,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-DELL-0124,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-DELL-0125,BIOS-DELL-765C934D47,HAS_BIOS
DEV-HP-0126,BIOS-HP-418E526406,HAS_BIOS
DEV-DELL-0127,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-DELL-0128,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-LENOVO-0129,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-DELL-0130,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-HP-0131,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-DELL-0132,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-HP-0133,BIOS-HP-D78C28A42F,HAS_BIOS
DEV-DELL-0134,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-DELL-0135,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-LENOVO-0136,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-DELL-0137,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-HP-0138,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-HP-0139,BIOS-HP-10090CF172,HAS_BIOS
DEV-DELL-0140,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-HP-0141,BIOS-HP-D78C28A42F,HAS_BIOS
DEV-DELL-0142,BIOS-DELL-A5A744D827,HAS_BIOS
DEV-DELL-0143,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-DELL-0144,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-HP-0145,BIOS-HP-D78C28A42F,HAS_BIOS
DEV-DELL-0146,BIOS-DELL-A5A744D827,HAS_BIOS
DEV-DELL-0147,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-DELL-0148,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-DELL-0149,BIOS-DELL-23FD72083E,HAS_BIOS
DEV-HP-0150,BIOS-HP-D78C28A42F,HAS_BIOS
DEV-DELL-0151,BIOS-DELL-23FD72083E,HAS_BIOS
DEV-LENOVO-0152,BIOS-LENOVO-EB5035EF03,HAS_BIOS
DEV-DELL-0153,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-HP-0154,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-HP-0155,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-LENOVO-0156,BIOS-LENOVO-E636F911BE,HAS_BIOS
DEV-DELL-0157,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-LENOVO-0158,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-DELL-0159,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-HP-0160,BIOS-HP-D78C28A42F,HAS_BIOS
DEV-HP-0161,BIOS-HP-418E526406,HAS_BIOS
DEV-DELL-0162,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-HP-0163,BIOS-HP-0D090BB033,HAS_BIOS
DEV-LENOVO-0164,BIOS-LENOVO-BD26A42E6A,HAS_BIOS
DEV-LENOVO-0165,BIOS-LENOVO-E636F911BE,HAS_BIOS
DEV-DELL-0166,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-DELL-0167,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-DELL-0168,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-LENOVO-0169,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-LENOVO-0170,BIOS-LENOVO-BD26A42E6A,HAS_BIOS
DEV-HP-0171,BIOS-HP-9FF2A01DC1,HAS_BIOS
DEV-DELL-0172,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-LENOVO-0173,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-LENOVO-0174,BIOS-LENOVO-BD26A42E6A,HAS_BIOS
DEV-DELL-0175,BIOS-DELL-23FD72083E,HAS_BIOS
DEV-LENOVO-0176,BIOS-LENOVO-EB5035EF03,HAS_BIOS
DEV-HP-0177,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-HP-0178,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-HP-0179,BIOS-HP-0D090BB033,HAS_BIOS
DEV-DELL-0180,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-LENOVO-0181,BIOS-LENOVO-BD26A42E6A,HAS_BIOS
DEV-DELL-0182,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-LENOVO-0183,BIOS-LENOVO-EB5035EF03,HAS_BIOS
DEV-HP-0184,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-DELL-0185,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-HP-0186,BIOS-HP-418E526406,HAS_BIOS
DEV-HP-0187,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-DELL-0188,BIOS-DELL-23FD72083E,HAS_BIOS
DEV-DELL-0189,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-DELL-0190,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-DELL-0191,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-LENOVO-0192,BIOS-LENOVO-E636F911BE,HAS_BIOS
DEV-DELL-0193,BIOS-DELL-A5A744D827,HAS_BIOS
DEV-DELL-0194,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-DELL-0195,BIOS-DELL-765C934D47,HAS_BIOS
DEV-HP-0196,BIOS-HP-9FF2A01DC1,HAS_BIOS
DEV-DELL-0197,BIOS-DELL-765C934D47,HAS_BIOS
DEV-HP-0198,BIOS-HP-9FF2A01DC1,HAS_BIOS
DEV-LENOVO-0199,BIOS-LENOVO-EB5035EF03,HAS_BIOS
DEV-DELL-0200,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-DELL-0201,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-HP-0202,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-LENOVO-0203,BIOS-LENOVO-BD26A42E6A,HAS_BIOS
DEV-LENOVO-0204,BIOS-LENOVO-4487D82AD1,HAS_BIOS
DEV-DELL-0205,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-DELL-0206,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-DELL-0207,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-LENOVO-0208,BIOS-LENOVO-D3C6DAF418,HAS_BIOS
DEV-DELL-0209,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-DELL-0210,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-DELL-0211,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-LENOVO-0212,BIOS-LENOVO-4487D82AD1,HAS_BIOS
DEV-LENOVO-0213,BIOS-LENOVO-E636F911BE,HAS_BIOS
DEV-DELL-0214,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-DELL-0215,BIOS-DELL-A5A744D827,HAS_BIOS
DEV-HP-0216,BIOS-HP-9FF2A01DC1,HAS_BIOS
DEV-HP-0217,BIOS-HP-10090CF172,HAS_BIOS
DEV-DELL-0218,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-DELL-0219,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-LENOVO-0220,BIOS-LENOVO-E636F911BE,HAS_BIOS
DEV-HP-0221,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-HP-0222,BIOS-HP-D78C28A42F,HAS_BIOS
DEV-DELL-0223,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-DELL-0224,BIOS-DELL-A5A744D827,HAS_BIOS
DEV-LENOVO-0225,BIOS-LENOVO-E636F911BE,HAS_BIOS
DEV-HP-0226,BIOS-HP-D78C28A42F,HAS_BIOS
DEV-HP-0227,BIOS-HP-10090CF172,HAS_BIOS
DEV-DELL-0228,BIOS-DELL-23FD72083E,HAS_BIOS
DEV-HP-0229,BIOS-HP-10090CF172,HAS_BIOS
DEV-DELL-0230,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-HP-0231,BIOS-HP-0D090BB033,HAS_BIOS
DEV-DELL-0232,BIOS-DELL-765C934D47,HAS_BIOS
DEV-LENOVO-0233,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-DELL-0234,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-HP-0235,BIOS-HP-10090CF172,HAS_BIOS
DEV-DELL-0236,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-HP-0237,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-DELL-0238,BIOS-DELL-23FD72083E,HAS_BIOS
DEV-DELL-0239,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-HP-0240,BIOS-HP-0D090BB033,HAS_BIOS
DEV-LENOVO-0241,BIOS-LENOVO-E636F911BE,HAS_BIOS
DEV-DELL-0242,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-HP-0243,BIOS-HP-9FF2A01DC1,HAS_BIOS
DEV-LENOVO-0244,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-DELL-0245,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-DELL-0246,BIOS-DELL-23FD72083E,HAS_BIOS
DEV-LENOVO-0247,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-HP-0248,BIOS-HP-418E526406,HAS_BIOS
DEV-DELL-0249,BIOS-DELL-7F9C62EE66,HAS_BIOS
